participant_ID,travel_frequency,inverval of travel to town,community_traffic,community_name,community_distance,community_river_type,education,occupation,wealth,people_n,beef,chicken,other,fish,turtle,wild_meat,community_store,farming_bin
R1,6.08,60.00,8.50,Macuri,"197,003.20",white,1,Fisherman,"8,701.76",5.80,0.00,0.00,0.00,365.00,9.00,137.67,FALSE,0
R2,6.08,60.00,8.50,Macuri,"197,003.20",white,2,Fisherman,"13,155.61",3.80,0.00,0.00,12.00,295.48,6.00,121.67,FALSE,0
R3,12.17,30.00,8.50,Macuri,"197,003.20",white,2,Fisherman,"6,899.38",4.41,0.00,6.00,36.00,365.00,39.11,177.67,FALSE,0
R4,6.08,60.00,8.50,Macuri,"197,003.20",white,1,Farmer,"8,113.84",8.00,0.00,1.00,0.00,365.00,1.00,42.76,FALSE,0
R5,3.04,120.00,8.50,Macuri,"197,003.20",white,2,Farmer,"7,847.88",2.80,0.00,2.00,1.00,365.00,1.00,,FALSE,0
R7,2.03,180.00,3.00,Boca_do_Abufari,"176,322.50",white,1,Fisherman,"18,071.37",5.60,0.00,4.00,24.00,365.00,2.50,73.52,TRUE,0
R8,8.11,45.00,3.00,Boca_do_Abufari,"176,322.50",white,4,Fisherman,"6,547.91",4.41,1.00,24.00,6.00,365.00,1.50,44.00,TRUE,0
R9,6.08,60.00,3.00,Boca_do_Abufari,"176,322.50",white,3,Fisherman,"10,814.71",5.21,0.00,6.00,12.00,295.48,3.00,60.00,TRUE,1
R10,4.06,90.00,3.00,Boca_do_Abufari,"176,322.50",white,3,Fisherman,"9,385.81",2.00,4.00,4.00,4.00,365.00,1.50,52.14,TRUE,0
R11,6.08,60.00,3.00,Boca_do_Abufari,"176,322.50",white,3,Fisherman,"4,910.08",3.60,1.00,12.00,24.00,365.00,8.00,56.14,TRUE,0
R13,6.08,60.00,3.00,Boca_do_Abufari,"176,322.50",white,4,Fisherman,"11,272.10",7.41,0.00,6.00,6.00,365.00,1.00,9.00,TRUE,0
R14,2.03,180.00,3.00,Boca_do_Abufari,"176,322.50",white,1,Other,"7,872.56",6.81,0.00,4.00,6.00,365.00,2.00,32.00,TRUE,0
R15,2.21,165.00,3.00,Boca_do_Abufari,"176,322.50",white,1,Farmer,"4,395.37",6.01,0.00,6.00,6.00,365.00,1.50,60.00,TRUE,0
R16,6.08,60.00,3.00,Boca_do_Abufari,"176,322.50",white,1,Fisherman,"16,440.11",4.80,0.00,6.00,4.00,365.00,2.00,56.00,TRUE,0
R17,4.06,90.00,3.00,Boca_do_Abufari,"176,322.50",white,1,Fisherman,"8,399.38",4.41,0.00,4.00,4.00,365.00,6.00,36.00,TRUE,0
R18,4.06,90.00,3.00,Boca_do_Abufari,"176,322.50",white,3,Fisherman,"7,366.49",3.60,0.00,4.00,4.00,330.24,,73.52,TRUE,0
R19,4.06,90.00,3.00,Boca_do_Abufari,"176,322.50",white,4,Fisherman,"13,654.66",4.41,0.00,4.00,6.00,365.00,6.00,56.00,TRUE,0
R20,6.08,60.00,3.00,Tauaria_Grande,"181,374.40",white,2,Fisherman,"7,227.01",1.00,6.00,30.00,24.00,365.00,13.04,36.00,TRUE,0
R21,3.04,120.00,3.00,Tauaria_Grande,"181,374.40",white,1,Fisherman,"11,222.68",7.41,0.00,4.00,4.00,330.24,3.00,93.52,TRUE,1
R22,4.06,90.00,3.00,Tauaria_Grande,"181,374.40",white,5,Fisherman,"9,857.78",2.80,4.00,6.00,36.00,365.00,26.07,10.66,TRUE,0
R23,6.08,60.00,3.00,Tauaria_Grande,"181,374.40",white,1,Fisherman,"7,961.53",3.00,12.00,12.00,84.00,330.24,39.11,28.00,TRUE,0
R24,12.17,30.00,3.00,Tauaria_Grande,"181,374.40",white,2,Fisherman,"11,570.00",5.80,6.00,6.00,156.43,191.19,3.00,40.00,TRUE,0
R25,6.08,60.00,3.00,Tauaria_Grande,"181,374.40",white,4,Fisherman,"8,311.77",2.80,0.00,12.00,48.00,191.19,26.07,64.00,TRUE,0
R26,4.06,90.00,3.00,Tauaria_Grande,"181,374.40",white,2,Farmer,"6,273.05",4.41,3.00,12.00,36.00,365.00,2.00,4.00,TRUE,0
